playerId,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,name,avatar,nameColor,bonus,clicked,timeClick,imageOrder,scoreIncrement,clickLength,rawScore,exitTimeoutId,exited
kNSR5gfPNz5ZPjeCG,NA,2021-07-23T17:07:34Z,2021-07-23T17:07:34Z,1,ExitSurvey,2021-07-23T17:14:49Z,finished,NA,NA,NA,2021-07-23T17:01:43Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.26,yellow_12,1793,"yellow_12,yellow_5,yellow_1,yellow_3,yellow_2,yellow_7",0.19333333333333333,3,9.666666666666666,NA,NA
G6Z6Yxjh52x52q9Bd,NA,2021-07-23T17:07:12Z,2021-07-23T17:07:12Z,1,ExitSurvey,2021-07-23T17:15:27Z,finished,NA,NA,NA,2021-07-23T17:01:54Z,Repi,/avatars/jdenticon/Samuel,#8138A8,5.84,red_6,2251,"red_6,red_12,red_8,red_9,red_11,red_10",0.06666666666666667,1,3.3333333333333335,NA,NA
cRtBKpDnajNyNh6Zn,NA,2021-07-23T17:07:51Z,2021-07-23T17:07:51Z,1,ExitSurvey,2021-07-23T17:15:58Z,finished,NA,NA,NA,2021-07-23T17:01:58Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.026666666666667,white_1,7658,"white_10,white_11,white_1,white_9,white_5,white_4",0.08666666666666666,2,4.333333333333333,NA,NA
aRy976KcJEd8cuCxR,NA,2021-07-23T17:07:33Z,2021-07-23T17:07:33Z,1,ExitSurvey,2021-07-23T17:14:49Z,finished,NA,NA,NA,2021-07-23T17:02:06Z,Repi,/avatars/jdenticon/Samuel,#8138A8,6.26,yellow_5,1861,"yellow_3,yellow_2,yellow_1,yellow_7,yellow_5,yellow_12",0.19333333333333333,3,9.666666666666666,NA,NA
d8GPBAK4ZaA6jQh3c,NA,2021-07-23T17:06:21Z,2021-07-23T17:06:21Z,1,ExitSurvey,2021-07-23T17:15:27Z,finished,NA,NA,NA,2021-07-23T17:02:07Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,5.84,red_6,2392,"red_8,red_9,red_11,red_12,red_10,red_6",0.06666666666666667,1,3.3333333333333335,NA,NA
uEF3WPP8Wr2AiHrjr,NA,2021-07-23T17:05:05Z,2021-07-23T17:05:05Z,1,ExitSurvey,2021-07-23T17:13:06Z,finished,NA,NA,NA,2021-07-23T17:02:08Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.660000000000002,white_8,2450,"white_9,white_11,white_3,white_2,white_12,white_8",0.16666666666666669,3,8.333333333333334,NA,NA
gxzXoDQNKsurkgfBw,NA,2021-07-23T17:07:27Z,2021-07-23T17:07:27Z,1,ExitSurvey,2021-07-23T17:14:49Z,finished,NA,NA,NA,2021-07-23T17:02:39Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.26,yellow_2,1230,"yellow_2,yellow_5,yellow_12,yellow_7,yellow_3,yellow_1",0.19333333333333333,3,9.666666666666666,NA,NA
ejcjLrQYBqyePjZy3,NA,2021-07-23T17:07:45Z,2021-07-23T17:07:45Z,1,ExitSurvey,2021-07-23T17:15:58Z,finished,NA,NA,NA,2021-07-23T17:02:58Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,6.026666666666667,white_1,1410,"white_9,white_4,white_11,white_5,white_10,white_1",0.08666666666666666,2,4.333333333333333,NA,NA
6bDT7aWved6EtiKDG,NA,NA,NA,NA,"Sorry,ExitSurvey",2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T17:03:49Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KELZXttczQxWGMXrM,NA,NA,NA,NA,"Sorry,ExitSurvey",2021-07-23T17:08:21Z,gameFull,NA,NA,NA,2021-07-23T17:04:31Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gZPD9Yt4EdoSmS3T4,NA,NA,NA,NA,"Sorry,ExitSurvey",2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T17:04:44Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abguAkpKKd2QTfS3y,NA,NA,NA,NA,"Sorry,ExitSurvey",2021-07-23T17:09:28Z,gameFull,NA,NA,NA,2021-07-23T17:05:13Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
