_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.name,data.avatar,data.nameColor,data.bonus,data.clicked,data.timeClick,data.imageOrder,data.scoreIncrement,data.clickLength,data.rawScore,data.exitTimeoutId,data.exited
wgdSxcR48MofWXY2R,,,,,,2021-07-02T21:30:56Z,gameFull,,,,2021-07-02T20:45:03Z,,,,,,,,,,,,
xEi5X6tdz6upKP6QE,,2021-07-02T20:48:17Z,2021-07-02T20:48:17Z,1,ExitSurvey,2021-07-02T21:01:27Z,finished,,,,2021-07-02T20:45:19Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.675999999999999,red_1,1913,"red_12,red_9,red_7,red_2,red_1,red_4",0.08399999999999999,1,6,,
p2ys7QxgPGCDzyNB8,,2021-07-02T21:08:04Z,2021-07-02T21:08:04Z,1,,2021-07-02T21:18:05Z,playerLobbyTimedOut,,,,2021-07-02T20:45:56Z,,,,,,,,,,,,
5yTb4TNSRhpaYXig7,,2021-07-02T20:54:00Z,2021-07-02T20:54:00Z,1,ExitSurvey,2021-07-02T21:02:34Z,finished,,,,2021-07-02T20:45:58Z,Repi,/avatars/jdenticon/Samuel,#8138A8,4.699333333333334,yellow_7,5377,"yellow_12,yellow_7,yellow_4,yellow_3,yellow_10,yellow_2",0.077,2,5.5,,
LhtoZGJ5iCnvxL9Eh,,2021-07-02T21:03:24Z,2021-07-02T21:03:24Z,1,ExitSurvey,2021-07-02T21:14:08Z,finished,,,,2021-07-02T20:45:59Z,Repi,/avatars/jdenticon/Samuel,#8138A8,3.4160000000000004,yellow_11,386,"yellow_9,yellow_8,yellow_11,yellow_6,yellow_10,yellow_5",0.08399999999999999,2,6,,
X9qhBqdMmDjadpxKu,,,,,,2021-07-02T21:30:56Z,gameFull,,,,2021-07-02T20:46:36Z,,,,,,,,,,,,
n8LDfRNDwKQEfLP9x,,2021-07-02T20:57:43Z,2021-07-02T20:57:43Z,1,ExitSurvey,2021-07-02T21:11:36Z,finished,,,,2021-07-02T20:48:00Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,4.018,purple_2,9499,"purple_10,purple_3,purple_11,purple_1,purple_5,purple_2",0.09799999999999999,1,7,,
DjZdAvQCpMc3qcGft,,2021-07-02T20:59:17Z,2021-07-02T20:59:17Z,1,ExitSurvey,2021-07-02T21:11:36Z,finished,,,,2021-07-02T20:53:19Z,Minu,/avatars/jdenticon/Alaina,#7ACC66,6.363000000000001,purple_10,-1466,"purple_3,purple_5,purple_11,purple_1,purple_2,purple_10",0.16799999999999998,1,12,,
Z22yqjMGybwFPDbN8,,2021-07-02T21:05:42Z,2021-07-02T21:05:42Z,1,ExitSurvey,2021-07-02T21:14:08Z,finished,,,,2021-07-02T20:54:41Z,Laju,/avatars/jdenticon/Katherine,#3D45B7,5.25,yellow_11,-60477,"yellow_5,yellow_11,yellow_6,yellow_10,yellow_9,yellow_8",0.08399999999999999,2,6,,
dd2fmMfKDmfmGF8ae,,,,,,2021-07-02T21:30:56Z,gameFull,,,,2021-07-02T21:08:04Z,,,,,,,,,,,,
6nucXoxTHfXHzYpPf,,2021-07-02T21:14:20Z,2021-07-02T21:14:20Z,1,,2021-07-02T21:24:20Z,playerLobbyTimedOut,,,,2021-07-02T21:09:38Z,,,,,,,,,,,,
