alignment,ba,bna,category,dnmalignment,nba,nbna,replierId,speakerId
0.6931471805599452,0,0,do,0.0,1,4,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.6931471805599452,0,0,he,0.0,1,4,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.18232155679395456,2,1,i,0.06666666666666665,1,1,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.6931471805599454,1,1,on,0.6,0,3,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.6931471805599454,1,1,one,0.6,0,3,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.6931471805599454,1,1,ones,0.6,0,3,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
0.6931471805599452,0,0,the,0.0,1,4,ehFS23PQxCCDHHxyf,WADiGpeAEgWDqGFda
alignment,ba,bna,category,dnmalignment,nba,nbna,replierId,speakerId
0.6931471805599454,1,0,a,0.5,0,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,an,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,and,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,er,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.6931471805599454,1,0,he,0.5,0,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.6931471805599454,1,0,i,0.5,0,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.6931471805599454,1,0,in,0.5,0,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,inside,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,it,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.6931471805599454,1,0,the,0.5,0,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,we,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
0.0,0,0,ye,0.0,1,1,XewWJxxCdCLzyRgWG,XyoaZD2sgvPot8BT9
-0.5108256237659908,2,2,a,-0.08333333333333331,6,2,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.0986122886681098,0,0,an,0.0,2,10,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,and,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,are,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.7884573603642704,0,0,at,0.0,3,9,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.7731898882334816,0,1,back,-0.08333333333333333,1,10,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.0,0,2,be,-0.16666666666666666,2,8,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,behind,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,did,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.4643056081310977,6,1,er,0.08333333333333326,3,2,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.7884573603642704,0,0,ha,0.0,3,9,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.41551544396166584,9,2,he,0.08333333333333337,0,1,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
