gameId,finishedAt,createdAt,sequence,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength,pilot
kL7tNzWoCekon3xWa,2021-07-22T16:55:28Z,2021-07-22T16:03:31Z,"red,white,yellow,purple",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,3117,FALSE
L9KobdseLb9BTrtyk,2021-07-22T16:57:22Z,2021-07-22T16:16:33Z,"purple,yellow,red,white",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,2449,FALSE
NM9kn2zcGWyPgE43R,2021-07-22T16:20:55Z,2021-07-22T15:54:56Z,"yellow,red,purple,white",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,1559,FALSE
nTjviCmSRATRxwqA5,2021-07-22T15:47:10Z,2021-07-22T15:22:47Z,"red,purple,white,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,1463,FALSE
ouLFcL4pWNcRE5JNu,2021-07-22T16:52:37Z,2021-07-22T15:33:46Z,"purple,white,red,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,4731,FALSE
oxMbxEbCGTr4pDWYD,2021-07-22T16:42:26Z,2021-07-22T16:06:06Z,"white,yellow,red,purple",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,2180,FALSE
q5bzFrZGBFgZmoXnL,2021-07-22T16:22:51Z,2021-07-22T15:39:12Z,"white,purple,red,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,2619,FALSE
R6fYnby2HvssRxsAM,2021-07-20T17:17:11Z,2021-07-20T17:02:40Z,"red,yellow,white,purple",4,coopMulti,multiPilot0720,3,180,6,5,6,12,TRUE,1.6,TRUE,870,TRUE
TKDxvKEgTaszS2gky,2021-07-22T16:04:22Z,2021-07-22T15:40:46Z,"red,white,yellow,purple",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,1416,FALSE
vomoob4XzDkrw5rXZ,2021-07-22T17:50:36Z,2021-07-22T17:39:22Z,"purple,red,yellow,white",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,674,FALSE
WJsoLE8hwiTt9ERkZ,2021-07-22T16:24:05Z,2021-07-22T16:13:00Z,"white,red,purple,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,665,FALSE
XSXkYGi5F5PLX3Fbc,2021-07-22T16:03:05Z,2021-07-22T15:52:57Z,"white,purple,red,yellow",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,608,FALSE
zrmt2fPsMpCPTxi7L,2021-07-22T15:44:17Z,2021-07-22T15:24:22Z,"yellow,red,purple,white",4,coopMulti,multiFullRun0722,3,180,6,5,6,12,TRUE,1.6,TRUE,1194,FALSE
hWc3fHAfD2kYNNQwd,2021-07-20T18:25:58Z,2021-07-20T17:54:14Z,"red,white,purple,yellow",4,coopMulti,multiPilot0720,3,180,6,5,6,12,TRUE,1.6,TRUE,1904,TRUE
ier2nCDT3gEyDmDuw,2021-07-20T18:21:48Z,2021-07-20T17:06:15Z,"white,red,yellow,purple",4,coopMulti,multiPilot0720,3,180,6,5,6,12,TRUE,1.6,TRUE,4533,TRUE
JvZjCtThY3iTsrXN5,2021-07-20T17:39:10Z,2021-07-20T17:00:47Z,"yellow,red,purple,white",4,coopMulti,multiPilot0720,3,180,6,5,6,12,TRUE,1.6,TRUE,2302,TRUE
KiBJ5D2Gb56scHooG,2021-07-20T17:26:05Z,2021-07-20T16:58:33Z,"yellow,white,purple,red",4,coopMulti,multiPilot0720,3,180,6,5,6,12,TRUE,1.6,TRUE,1651,TRUE
R6fYnby2HvssRxsAM,2021-07-20T17:17:11Z,2021-07-20T17:02:40Z,"red,yellow,white,purple",4,coopMulti,multiPilot0720,3,180,6,5,6,12,TRUE,1.6,TRUE,870,TRUE
2yX3k7DkPSWGee3q9,2021-07-19T18:54:14Z,2021-07-19T18:10:43Z,"red,white,purple,yellow",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,2610,FALSE
5oqcuFaDgbZ4pAnvK,2021-07-19T18:26:52Z,2021-07-19T18:16:38Z,"white,yellow,purple,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,613,FALSE
67qxzPDuhEbrkhDLF,2021-07-19T19:02:52Z,2021-07-19T18:15:35Z,"red,yellow,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,2837,FALSE
9TpHt9H5Ny6HzH8x7,2021-07-19T18:44:22Z,2021-07-19T18:10:02Z,"red,purple,white,yellow",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,2059,FALSE
bJL8HJjyykG9B4k9C,2021-07-19T19:37:37Z,2021-07-19T18:25:15Z,"white,yellow,purple,red",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,4341,FALSE
BnjjYk9ZdKgDLA4S6,2021-07-19T18:17:27Z,2021-07-19T18:17:15Z,"red,yellow,white,purple",4,competCartel,competFullRun0719,3,180,6,5,6,12,TRUE,1.0001,TRUE,11,FALSE
